,State,Zip Code,Date,Fuel,Latitude,Longitude
182,NC,28451,4/1/2022,BEV,34.201645,-78.04511
183,NC,28451,6/1/2023,BEV,34.201645,-78.04511
184,NC,28451,6/1/2023,BEV,34.201645,-78.04511
185,NC,28451,12/1/2022,BEV,34.201645,-78.04511
186,NC,28451,2/1/2023,BEV,34.201645,-78.04511
187,NC,28451,4/1/2023,BEV,34.201645,-78.04511
188,NC,28451,9/1/2022,BEV,34.201645,-78.04511
189,NC,28451,3/1/2022,BEV,34.201645,-78.04511
190,NC,28451,1/1/2023,BEV,34.201645,-78.04511
191,NC,28451,7/1/2023,BEV,34.201645,-78.04511
192,NC,28451,8/1/2022,BEV,34.201645,-78.04511
193,NC,28451,5/1/2022,BEV,34.201645,-78.04511
194,NC,28451,7/1/2020,BEV,34.201645,-78.04511
195,NC,28451,5/1/2021,BEV,34.201645,-78.04511
196,NC,28451,6/1/2021,BEV,34.201645,-78.04511
197,NC,28451,6/1/2022,BEV,34.201645,-78.04511
198,NC,28451,7/1/2022,BEV,34.201645,-78.04511
199,NC,28451,5/1/2021,BEV,34.201645,-78.04511
200,NC,28451,8/1/2020,BEV,34.201645,-78.04511
201,NC,28451,1/1/2021,BEV,34.201645,-78.04511
202,NC,28451,10/1/2020,BEV,34.201645,-78.04511
203,NC,28451,1/1/2021,BEV,34.201645,-78.04511
204,NC,28451,3/1/2023,BEV,34.201645,-78.04511
205,NC,28451,9/1/2023,BEV,34.201645,-78.04511
206,NC,28451,9/1/2023,BEV,34.201645,-78.04511
207,NC,28451,10/1/2022,BEV,34.201645,-78.04511
208,NC,28451,11/1/2022,BEV,34.201645,-78.04511
209,NC,28451,6/1/2023,BEV,34.201645,-78.04511
210,NC,28451,8/1/2023,BEV,34.201645,-78.04511
211,NC,28451,3/1/2023,BEV,34.201645,-78.04511
212,NC,28451,9/1/2023,BEV,34.201645,-78.04511
213,NC,28451,1/1/2023,BEV,34.201645,-78.04511
214,NC,28451,1/1/2023,BEV,34.201645,-78.04511
215,NC,28451,1/1/2023,BEV,34.201645,-78.04511
216,NC,28451,1/1/2023,BEV,34.201645,-78.04511
217,NC,28451,3/1/2023,BEV,34.201645,-78.04511
218,NC,28451,12/1/2022,BEV,34.201645,-78.04511
219,NC,28451,7/1/2023,BEV,34.201645,-78.04511
220,NC,28451,4/1/2023,BEV,34.201645,-78.04511
221,NC,28451,9/1/2023,BEV,34.201645,-78.04511
222,NC,28451,6/1/2022,BEV,34.201645,-78.04511
223,NC,28451,9/1/2023,BEV,34.201645,-78.04511
224,NC,28451,9/1/2020,BEV,34.201645,-78.04511
225,NC,28451,1/1/2023,BEV,34.201645,-78.04511
226,NC,28451,1/1/2023,BEV,34.201645,-78.04511
227,NC,28451,8/1/2023,BEV,34.201645,-78.04511
228,NC,28451,2/1/2021,BEV,34.201645,-78.04511
229,NC,28451,12/1/2022,BEV,34.201645,-78.04511
230,NC,28451,9/1/2023,BEV,34.201645,-78.04511
231,NC,28451,10/1/2022,BEV,34.201645,-78.04511
232,NC,28451,11/1/2022,BEV,34.201645,-78.04511
233,NC,28451,10/1/2022,BEV,34.201645,-78.04511
234,NC,28451,11/1/2022,BEV,34.201645,-78.04511
235,NC,28451,6/1/2023,BEV,34.201645,-78.04511
236,NC,28451,6/1/2022,BEV,34.201645,-78.04511
237,NC,28451,1/1/2021,BEV,34.201645,-78.04511
238,NC,28451,2/1/2023,BEV,34.201645,-78.04511
239,NC,28451,9/1/2023,BEV,34.201645,-78.04511
240,NC,28451,3/1/2023,BEV,34.201645,-78.04511
241,NC,28451,11/1/2022,BEV,34.201645,-78.04511
242,NC,28227,7/1/2023,BEV,35.167774,-80.742259
243,NC,28227,7/1/2023,BEV,35.167774,-80.742259
244,NC,28227,3/1/2023,BEV,35.167774,-80.742259
245,NC,28227,6/1/2023,BEV,35.167774,-80.742259
246,NC,28227,6/1/2023,BEV,35.167774,-80.742259
247,NC,28227,12/1/2022,BEV,35.167774,-80.742259
248,NC,28227,4/1/2023,BEV,35.167774,-80.742259
249,NC,28227,10/1/2022,BEV,35.167774,-80.742259
250,NC,28227,5/1/2023,BEV,35.167774,-80.742259
251,NC,28227,2/1/2023,BEV,35.167774,-80.742259
252,NC,28227,2/1/2023,BEV,35.167774,-80.742259
253,NC,28227,10/1/2022,BEV,35.167774,-80.742259
254,NC,28227,4/1/2023,BEV,35.167774,-80.742259
255,NC,28227,1/1/2023,BEV,35.167774,-80.742259
256,NC,28227,6/1/2023,BEV,35.167774,-80.742259
257,NC,28227,8/1/2023,BEV,35.167774,-80.742259
258,NC,28227,9/1/2023,BEV,35.167774,-80.742259
259,NC,28227,7/1/2023,BEV,35.167774,-80.742259
260,NC,28227,9/1/2023,BEV,35.167774,-80.742259
261,NC,28227,1/1/2023,BEV,35.167774,-80.742259
262,NC,28227,8/1/2023,BEV,35.167774,-80.742259
263,NC,28227,11/1/2022,BEV,35.167774,-80.742259
264,NC,28227,11/1/2022,BEV,35.167774,-80.742259
265,NC,28227,5/1/2023,BEV,35.167774,-80.742259
266,NC,28227,12/1/2022,BEV,35.167774,-80.742259
267,NC,28227,6/1/2023,BEV,35.167774,-80.742259
268,NC,28227,7/1/2023,BEV,35.167774,-80.742259
269,NC,28227,9/1/2023,BEV,35.167774,-80.742259
270,NC,28227,9/1/2023,BEV,35.167774,-80.742259
271,NC,28227,8/1/2023,BEV,35.167774,-80.742259
272,NC,28227,1/1/2023,BEV,35.167774,-80.742259
273,NC,28227,2/1/2023,BEV,35.167774,-80.742259
274,NC,28227,7/1/2023,BEV,35.167774,-80.742259
275,NC,28227,6/1/2023,BEV,35.167774,-80.742259
276,NC,28227,12/1/2022,BEV,35.167774,-80.742259
277,NC,28227,11/1/2022,BEV,35.167774,-80.742259
278,NC,28227,9/1/2022,BEV,35.167774,-80.742259
279,NC,28227,7/1/2022,BEV,35.167774,-80.742259
280,NC,28227,3/1/2022,BEV,35.167774,-80.742259
281,NC,28227,7/1/2022,BEV,35.167774,-80.742259
282,NC,28227,7/1/2022,BEV,35.167774,-80.742259
283,NC,28227,1/1/2022,BEV,35.167774,-80.742259
284,NC,28227,12/1/2022,BEV,35.167774,-80.742259
285,NC,28227,7/1/2022,BEV,35.167774,-80.742259
286,NC,28227,7/1/2022,BEV,35.167774,-80.742259
287,NC,28227,1/1/2023,BEV,35.167774,-80.742259
288,NC,28227,10/1/2022,BEV,35.167774,-80.742259
289,NC,28227,1/1/2023,BEV,35.167774,-80.742259
290,NC,28227,6/1/2022,BEV,35.167774,-80.742259
291,NC,28227,3/1/2022,BEV,35.167774,-80.742259
292,NC,28227,8/1/2022,BEV,35.167774,-80.742259
293,NC,28227,2/1/2022,BEV,35.167774,-80.742259
294,NC,28227,10/1/2022,BEV,35.167774,-80.742259
295,NC,28227,9/1/2022,BEV,35.167774,-80.742259
296,NC,28227,9/1/2022,BEV,35.167774,-80.742259
297,NC,28227,12/1/2020,BEV,35.167774,-80.742259
298,NC,28227,1/1/2021,BEV,35.167774,-80.742259
299,NC,28227,4/1/2021,BEV,35.167774,-80.742259
300,NC,28227,5/1/2021,BEV,35.167774,-80.742259
301,NC,28227,9/1/2020,BEV,35.167774,-80.742259
302,NC,28227,5/1/2021,BEV,35.167774,-80.742259
303,NC,28227,5/1/2021,BEV,35.167774,-80.742259
304,NC,28227,4/1/2021,BEV,35.167774,-80.742259
305,NC,28227,2/1/2021,BEV,35.167774,-80.742259
306,NC,28227,1/1/2021,BEV,35.167774,-80.742259
307,NC,28227,5/1/2021,BEV,35.167774,-80.742259
308,NC,28227,8/1/2020,BEV,35.167774,-80.742259
309,NC,28227,10/1/2020,BEV,35.167774,-80.742259
310,NC,28227,3/1/2021,BEV,35.167774,-80.742259
311,NC,28227,3/1/2021,BEV,35.167774,-80.742259
312,NC,28227,1/1/2021,BEV,35.167774,-80.742259
313,NC,28227,4/1/2021,BEV,35.167774,-80.742259
314,NC,28227,4/1/2021,BEV,35.167774,-80.742259
315,NC,28227,6/1/2021,BEV,35.167774,-80.742259
316,NC,28227,10/1/2022,BEV,35.167774,-80.742259
317,NC,28227,6/1/2023,BEV,35.167774,-80.742259
318,NC,28227,12/1/2022,BEV,35.167774,-80.742259
319,NC,28227,3/1/2023,BEV,35.167774,-80.742259
320,NC,28227,4/1/2023,BEV,35.167774,-80.742259
321,NC,28227,7/1/2023,BEV,35.167774,-80.742259
322,NC,28227,10/1/2020,BEV,35.167774,-80.742259
323,NC,28227,2/1/2021,BEV,35.167774,-80.742259
324,NC,28227,9/1/2020,BEV,35.167774,-80.742259
325,NC,28227,7/1/2020,BEV,35.167774,-80.742259
326,NC,28227,11/1/2020,BEV,35.167774,-80.742259
327,NC,28227,4/1/2021,BEV,35.167774,-80.742259
328,NC,28227,2/1/2022,BEV,35.167774,-80.742259
329,NC,28227,9/1/2022,BEV,35.167774,-80.742259
330,NC,28227,7/1/2022,BEV,35.167774,-80.742259
331,NC,28227,12/1/2022,BEV,35.167774,-80.742259
332,NC,28227,6/1/2022,BEV,35.167774,-80.742259
333,NC,28227,11/1/2022,BEV,35.167774,-80.742259
334,NC,28227,3/1/2023,BEV,35.167774,-80.742259
335,NC,28227,3/1/2023,BEV,35.167774,-80.742259
336,NC,28227,7/1/2023,BEV,35.167774,-80.742259
337,NC,28227,7/1/2023,BEV,35.167774,-80.742259
338,NC,28227,4/1/2023,BEV,35.167774,-80.742259
339,NC,28227,10/1/2022,BEV,35.167774,-80.742259
340,NC,28227,9/1/2022,BEV,35.167774,-80.742259
341,NC,28227,7/1/2022,BEV,35.167774,-80.742259
342,NC,28227,11/1/2022,BEV,35.167774,-80.742259
343,NC,28227,3/1/2022,BEV,35.167774,-80.742259
344,NC,28227,6/1/2022,BEV,35.167774,-80.742259
345,NC,28227,9/1/2022,BEV,35.167774,-80.742259
346,NC,28227,10/1/2022,BEV,35.167774,-80.742259
347,NC,28227,3/1/2023,BEV,35.167774,-80.742259
348,NC,28227,6/1/2023,BEV,35.167774,-80.742259
349,NC,28227,6/1/2023,BEV,35.167774,-80.742259
350,NC,28227,9/1/2023,BEV,35.167774,-80.742259
351,NC,28227,1/1/2023,BEV,35.167774,-80.742259
352,NC,28227,10/1/2022,BEV,35.167774,-80.742259
353,NC,28227,10/1/2022,BEV,35.167774,-80.742259
354,NC,28227,11/1/2022,BEV,35.167774,-80.742259
355,NC,28227,4/1/2022,BEV,35.167774,-80.742259
356,NC,28227,2/1/2021,BEV,35.167774,-80.742259
357,NC,28227,1/1/2021,BEV,35.167774,-80.742259
358,NC,28227,12/1/2020,BEV,35.167774,-80.742259
359,NC,28227,3/1/2021,BEV,35.167774,-80.742259
360,NC,28227,8/1/2023,BEV,35.167774,-80.742259
361,NC,28227,11/1/2022,BEV,35.167774,-80.742259
362,NC,28227,10/1/2022,BEV,35.167774,-80.742259
363,NC,28227,7/1/2023,BEV,35.167774,-80.742259
