latitude,longitude,street_address,state,city,Zip Code,country,id,open_date,fuel_type_code
35.04403,-85.310026,1-99 W 11th St,TN,Chattanooga,37402,US,80504,2017-01-05,ELEC
35.97745,-86.560795,742 President Place,TN,Smyrna,37167,US,85392,2017-06-02,ELEC
35.033667,-85.277644,601-699 S Hawthorne St,TN,Chattanooga,37404,US,85877,2017-07-12,ELEC
35.979926,-86.804875,1568 Mallory Ln,TN,Brentwood,37027,US,87676,2017-09-16,ELEC
35.072113,-85.131349,8007 Volkswagen Dr,TN,Chattanooga,37421,US,89771,2017-12-21,ELEC
35.070661,-85.133595,7380 TN-317,TN,Chattanooga,37421,US,89772,2017-12-21,ELEC
35.935669,-84.005456,265 Brookview Centre Way,TN,Knoxville,37919,US,95183,2012-03-01,ELEC
35.0421861,-85.308904,1200 Market St,TN,Chattanooga,37402,US,95190,2012-01-15,ELEC
35.821406,-83.578337,2134 Parkway,TN,Pigeon Forge,37863,US,95203,2012-01-15,ELEC
36.150544,-86.802403,2100 West End Avenue,TN,Nashville,37203,US,95221,2011-12-31,ELEC
35.9256575,-86.8674099,109 2nd Ave South,TN,Franklin,37064,US,95453,2012-03-01,ELEC
35.9241797,-86.8699657,115 4th Avenue South,TN,Franklin,37064,US,95454,2012-03-01,ELEC
36.151923,-86.79686,102 19th Avenue S,TN,Nashville,37203,US,95484,2014-02-22,ELEC
35.0663,-85.0745,9100 Integra Preserve Court,TN,Ooltewah,37363,US,95497,2016-03-08,ELEC
35.616609,-87.838277,114 E. Main Street,TN,Linden,37096,US,95649,2012-03-01,ELEC
35.977993,-83.907603,1610 E Magnolia Ave,TN,Knoxville,37917,US,95772,2011-09-01,ELEC
35.94657,-84.164617,10915 Hardin Valley Road,TN,Knoxville,37932,US,95978,2011-08-10,ELEC
35.755076,-84.072247,2731 W. Lamar Alexander Hwy,TN,Friendsville,37737,US,96093,2012-05-31,ELEC
35.985804,-83.610977,3620 Outdoor Sportsman Place,TN,Kodak,37764,US,96156,2015-11-13,ELEC
35.92301,-84.08731,9111 Cross Park Dr,TN,Knoxville,37923,US,96322,2012-03-01,ELEC
35.045076,-85.156036,2343 Shallowford Village Dr.,TN,Chattanooga,37421,US,96356,2011-07-26,ELEC
35.606597,-87.067605,1224 Trotwood Ave,TN,Columbia,38401,US,96368,2012-01-15,ELEC
35.981352,-83.928208,1100 N Central Street,TN,Knoxville,37917,US,96371,2012-03-01,ELEC
35.808857,-83.575849,120 Christmas Tree Lane,TN,Pigeon Forge,37863,US,96527,2014-11-06,ELEC
35.783947,-83.988546,130 Associates Blvd,TN,Alcoa,37701,US,96528,2014-12-13,ELEC
35.811537,-83.982389,126 Cusick Rd,TN,Alcoa,37701,US,96531,2014-12-13,ELEC
35.919789,-84.088552,9134 Executive Park Drive,TN,Knoxville,37923,US,96532,2014-11-20,ELEC
35.984378,-83.613235,3526 Outdoor World Drive,TN,Kodak,37764,US,96533,2014-11-07,ELEC
35.934861,-86.824692,4089 Mallory Ln,TN,Franklin,37067,US,97067,2018-05-16,ELEC
35.066943,-85.074911,9198 Integra Hills Lane,TN,Ooltewah,37363,US,100238,2018-08-08,ELEC
35.068252,-85.073931,9198 Integra Hills Lane,TN,Ooltewah,37363,US,100239,2018-08-08,ELEC
35.682623,-85.774901,200 W Morford St,TN,McMinnville,37110,US,100324,2018-03-01,ELEC
36.522178,-82.528577,1213 Konnarock R,TN,Kingsport,37660,US,100478,2016-01-01,ELEC
