latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
44.19937,-72.5066,36 Granite St,VT,Barre,05641,US,153315,2020-02-05,ELEC
44.187604,-72.835791,155 Carroll Rd,VT,Waitsfield,05673,US,153504,2020-02-07,ELEC
44.443054,-73.212484,947 Shelburne Rd,VT,South Burlington,05403,US,185559,2020-02-21,ELEC
44.499366,-72.745902,4441 Mountain Rd,VT,Stowe,05672,US,167025,2020-03-01,ELEC
43.11368,-72.9046,7 Village Lodge Rd,VT,Stratton,05360,US,154379,2020-03-09,ELEC
42.83730398005254,-72.565330609787,564 Canal St,VT,Brattleboro,05301,US,167023,2020-03-11,ELEC
43.82293,-72.598755,1709 VT-107,VT,Bethel,05032,US,154587,2020-03-20,ELEC
42.882079,-72.55767,1027 Putney Road,VT,Brattleboro,05301,US,154612,2020-03-24,ELEC
44.797119,-73.072067,555 Fairfax Rd,VT,St. Albans,05478,US,163720,2020-03-31,ELEC
44.475984,-73.200415,461 Main Street,VT,Burlington,05405,US,164036,2020-07-07,ELEC
44.31019,-73.2498,159 Ferry Rd,VT,Charlotte,05445,US,164362,2020-07-18,ELEC
43.607216,-72.97923,102 West St,VT,Rutland,05701,US,164391,2020-07-21,ELEC
43.597433,-72.957556,160 Allen St,VT,Rutland,05701,US,165353,2020-08-10,ELEC
44.351186,-72.601766,433 Shady Rill Rd,VT,Middlesex,05602,US,165795,2020-08-31,ELEC
44.588058,-72.604858,868 VT Rte-15e,VT,Hyde Park,05655,US,167024,2020-09-02,ELEC
43.617818,-72.957029,194 Woodstock Ave,VT,Rutland,05701,US,166865,2020-09-10,ELEC
44.190746,-72.824043,4348 Main St,VT,Waitsfield,05673,US,67155,2020-09-23,ELEC
44.184343,-72.838188,59 Mad River Green,VT,Waitsfield,05673,US,167045,2020-09-24,ELEC
44.478859,-73.196052,75 Colchester Ave,VT,Burlington,05405,US,167145,2020-09-26,ELEC
44.635896,-72.68458,293 Lower Main St W,VT,Johnson,05656,US,82714,2020-09-28,ELEC
44.935955,-72.20744,15 Main St,VT,Newport,05855,US,168477,2020-11-14,ELEC
44.402789,-72.995071,203 Bridge St,VT,Richmond,05477,US,169527,2020-11-30,ELEC
44.4911559,-73.227118,341 North Ave,VT,Burlington,05401,US,203159,2020-12-01,ELEC
