State,zip,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,05443,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05676,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05356,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05701,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05446,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05658,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05443,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05146,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05641,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05753,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05673,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05443,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05656,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05656,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05146,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05445,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05839,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05760,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05353,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05760,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05146,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05201,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05753,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05761,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05760,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05356,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05819,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05353,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05761,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05656,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05765,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05143,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05346,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05673,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05641,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05408,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05255,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05491,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05676,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05446,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05353,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05445,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05048,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05733,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05146,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05445,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05488,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05488,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05408,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05353,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05255,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05255,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05301,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05648,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
